number,activity-Active,activity-Awaiting Evidence,activity-Awaiting Problem,activity-Awaiting User Info,activity-Awaiting Vendor,activity-Closed,activity-New,activity-Resolved,activity-Update category,activity-Update priority,activity-Update unknown attribute,category_Collectors,category_Database,category_Desktop,category_Global web governance,category_Home office,category_Information security,category_Infrastructure,category_Internet,category_Mobile device,category_Network,category_Notebook,category_OTCS - PABX,category_Office pack,category_Others,category_Passwords and access,category_Peripheral,category_Plugin,category_Printer,category_Radio frequency antenna,category_Remote access,category_Request,category_SAP,category_SAP CRM,category_SAP ECC,category_SAP ECC EN,category_SAP GRC,category_Scanner,category_Server,category_Software,category_Software - industry,category_Successfactors,category_Telephony,category_Telephony portal,category_Terminal,category_Unproductive call,label-easy_categs
INC0000114,0,0,0,0.2976490102,0,0.118300176,0.1678127931,0.1183619156,0,0,0.9247915757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
INC0000115,0,0,0,0,0,0.1960666784,0.2781272019,0.1961690035,0,0,0.9196308168,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INC0000116,0,0,0,0,0,0.3935145432,0.5582136634,0.3937199142,0,0,0.6152466493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INC0000119,0.6010646558,0,0,0,0,0.3989384079,0.5659075987,0.3991466096,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INC0000121,0.7290327417,0,0,0,0,0.4838733379,0,0.4841258662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
INC0000122,0,0,0,0,0,0.2692788997,0.3819812092,0.2694194334,0,0,0.8420168638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
INC0000123,0,0,0,0,0,0.3935145432,0.5582136634,0.3937199142,0,0,0.6152466493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
INC0000124,0.5814017155,0,0,0,0,0.3858877286,0,0.3860891192,0,0,0.6033223832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
INC0000125,0.2833032141,0,0,0,0,0.188033903,0.2667324389,0.1881320359,0,0,0.8819539009,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INC0000126,0,0,0,0,0,0.3935145432,0.5582136634,0.3937199142,0,0,0.6152466493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
INC0000128,0.2833032141,0,0,0,0,0.188033903,0.2667324389,0.1881320359,0,0,0.8819539009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
INC0000129,0,0,0,0.1743132155,0,0.06928053972,0.09827678431,0.06931669649,0,0,0.9748599792,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INC0000130,0.3759489562,0,0,0,0,0.2495247002,0.3539592105,0.2496549245,0,0,0.7802468214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
INC0000131,0.4627327482,0,0,0.7727409851,0,0.3071248061,0,0.3072850912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
INC0000132,0.3759489562,0,0,0,0,0.2495247002,0.3539592105,0.2496549245,0,0,0.7802468214,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INC0000134,0.5099934537,0,0,0,0,0.3384926638,0.4801632701,0.3386693195,0,0,0.529221806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
INC0000135,0.1863318738,0,0,0,0,0.1236721214,0,0.1237366646,0,0,0.9667858486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
INC0000137,0,0,0,0,0,0.3154402097,0.8949251715,0.3156048345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
INC0000139,0,0,0,0,0,0.1960666784,0.2781272019,0.1961690035,0,0,0.9196308168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
INC0000140,0.2287500037,0,0,0,0,0.1518258666,0,0.1519051029,0,0,0.9494983843,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INC0000141,0.5814017155,0,0,0,0,0.3858877286,0,0.3860891192,0,0,0.6033223832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
INC0000146,0,0,0,0,0,0.3935145432,0.5582136634,0.3937199142,0,0,0.6152466493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
INC0000147,0.2287500037,0,0,0,0,0.1518258666,0,0.1519051029,0,0,0.9494983843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
INC0000148,0,0,0,0,0,0.3935145432,0.5582136634,0.3937199142,0,0,0.6152466493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
INC0000149,0,0,0,0,0,0.3935145432,0.5582136634,0.3937199142,0,0,0.6152466493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
INC0000152,0,0,0,0.703581122,0,0.2796373168,0.3966749736,0.2797832565,0,0,0.4372034659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
INC0000153,0,0,0,0,0,0.3935145432,0.5582136634,0.3937199142,0,0,0.6152466493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
INC0000155,0,0,0,0,0,0.3935145432,0.5582136634,0.3937199142,0,0,0.6152466493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
INC0000156,0,0,0,0,0,0.3935145432,0.5582136634,0.3937199142,0,0,0.6152466493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
INC0000158,0,0,0,0,0,0.4991719322,0.7080922364,0.4994324447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
INC0000159,0,0,0,0,0,0.1960666784,0.2781272019,0.1961690035,0,0,0.9196308168,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INC0000160,0,0,0,0,0,0.7069222896,0,0.7072912247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
INC0000161,0,0,0,0.3923385442,0,0.07796719834,0.2211982056,0.07800788858,0,0.806996439,0.3656972153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INC0000164,0.2256976818,0,0,0,0,0.1497999807,0.2124963294,0.1498781597,0.6044214509,0,0.7026215761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
INC0000166,0,0,0,0,0,0.3935145432,0.5582136634,0.3937199142,0,0,0.6152466493,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INC0000167,0.6010646558,0,0,0,0,0.3989384079,0.5659075987,0.3991466096,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INC0000168,0,0,0,0,0,0.4991719322,0.7080922364,0.4994324447,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INC0000169,0,0,0,0,0,0.4991719322,0.7080922364,0.4994324447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
INC0000171,0,0,0,0.3730736896,0,0.0741388038,0.2103367918,0.07417749604,0,0.3836853955,0.8113945466,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INC0000172,0.4374007074,0,0,0.36521886,0,0.1451557167,0.4118165684,0.1452314719,0,0,0.6808381283,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INC0000173,0.2342093685,0,0,0.7822363073,0,0.1554493542,0.2205101564,0.1555304815,0,0,0.486079592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
INC0000174,0,0,0,0,0,0.1766392119,0.5011373698,0.176731398,0,0,0.8285082609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
INC0000176,0,0,0,0,0,0.4991719322,0.7080922364,0.4994324447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
INC0000178,0,0,0,0,0,0.3935145432,0.5582136634,0.3937199142,0,0,0.6152466493,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INC0000179,0.7290327417,0,0,0,0,0.4838733379,0,0.4841258662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
INC0000192,0,0,0,0,0,0.4991719322,0.7080922364,0.4994324447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
INC0000193,0.3759489562,0,0,0,0,0.2495247002,0.3539592105,0.2496549245,0,0,0.7802468214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INC0000194,0,0,0,0,0,0.4991719322,0.7080922364,0.4994324447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INC0000195,0.5814017155,0,0,0,0,0.3858877286,0,0.3860891192,0,0,0.6033223832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
INC0000197,0.3702930916,0,0,0.5153094118,0,0.04096179864,0.05810569413,0.04098317617,0,0,0.7685086044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
INC0000199,0,0,0,0,0,0.7069222896,0,0.7072912247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INC0000204,0,0,0,0,0,0.3935145432,0.5582136634,0.3937199142,0,0,0.6152466493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
INC0000207,0,0,0,0,0,0.2692788997,0.3819812092,0.2694194334,0,0,0.8420168638,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INC0000211,0.4019722968,0,0,0,0,0.2667969021,0,0.2669361405,0,0,0.8342558256,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INC0000213,0.7290327417,0,0,0,0,0.4838733379,0,0.4841258662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
INC0000217,0,0,0,0.7488961228,0,0.1488238497,0.4222233094,0.1489015193,0,0,0.4653620887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INC0000218,0,0,0,0,0,0.1522789827,0.2160128775,0.1523584555,0,0,0.9523321108,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INC0000220,0.3337497657,0,0,0.557345733,0,0.2215162693,0,0.2216318763,0,0,0.6926663567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
INC0000221,0.5099934537,0,0,0,0,0.3384926638,0.4801632701,0.3386693195,0,0,0.529221806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
INC0000223,0.1754726868,0,0,0.2930307773,0,0.1164646659,0.1652090601,0.1165254476,0,0,0.9104427867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
INC0000228,0,0,0,0,0,0.3935145432,0.5582136634,0.3937199142,0,0,0.6152466493,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
INC0000230,0.4939779613,0,0.6135272818,0.549945972,0,0.1092876224,0.1550281816,0.1093446584,0,0,0.1708674931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
INC0000232,0,0,0,0.1743132155,0,0.06928053972,0.09827678431,0.06931669649,0,0,0.9748599792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
INC0000236,0,0,0,0,0,0.3935145432,0.5582136634,0.3937199142,0,0,0.6152466493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
INC0000237,0.5814017155,0,0,0,0,0.3858877286,0,0.3860891192,0,0,0.6033223832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
INC0000246,0.709793439,0,0,0.3951067388,0,0.1570346117,0.2227588977,0.1571165664,0,0,0.4910365848,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INC0000250,0.1895605176,0,0,0.3165567635,0,0.06290751782,0.08923643761,0.06294034858,0.2538228177,0,0.8851839457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
INC0000253,0,0,0,0,0,0.1522789827,0.2160128775,0.1523584555,0,0,0.9523321108,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
